id,name,one_liner,category,mechanic_twist,why_gap_exists,monetization,india_angle,effort
11,AgentRank - x402,AI agents pay machine-to-machine to rank,AI Agents,Uses x402 protocol; agents autonomously bid USDC to rank API endpoints; no humans,Only 2 x402 boards (nohumans.lol etc); agent economy exploding,$1 min + gas; infra for agent economy,Build for Bangalore AI agent startups,Medium
12,ResumeRank.lol,Pay to rank resume in recruiter feed,Talent,Recruiters see feed; candidates pay $10 to be top for 7 days; AI feedback included,0 resume boards; Naukri charges ₹2000 for similar, $10/week = cheap,Naukri alternative for freshers,Low
13,EventHijack.lol,Own #1 during IPL / WWDC / Demo Day,Event-based,Board only live during event; 100 slots; $2 min; live visitor count spikes,No event-based boards; event attention is 100x normal,$2-100 per event; repeatable,IPL 2026 = perfect launchpad,Low
14,DomainBid.lol,Expired domains ranked by bid,Web Assets,Expired .com/.in domains; pay to rank your domain for sale; escrow integrated,Only 3 domain boards; domain flipping is huge in India,$1 to list + 5% sale commission, .in domains cheap,Low
15,PodcastRank.lol,Pay to rank your podcast clip in feed,Audio / Clips,30-sec clip plays on landing; pay to be #1 clip of day; listeners vote with listen time,Only 1 podcast board; podcast discovery is broken,$3 min + tipping,Indian podcast scene growing,Medium
16,NegativeBid - Pay to Bury,Pay $2 to push competitor down 1 spot,Mechanic - Sabotage,Each $2 bury = -1 rank for target; target gets notified and can pay to recover; drama = virality,0 bury boards; controversy drives clicks,$2 per bury; 50% goes to buried as credit,Legal risk - need abuse controls,Low
17,KarmaPool - Lose to Win,Losing bids give karma to discount next bid,Retention Mechanic,When outbid you get 50% as karma credit; karma decays in 7 days; forces rebid,No retention mechanic in any board; median $19 = churn problem,Rebid revenue + karma expiry = FOMO,Works for price-sensitive India,Low
18,WhaleHunter - SquadBid,100 small founders pool to kill whale,Collaborative,Create squad; pool bids; if pool > #1 you share #1 as carousel; auto-split clicks,No pooling mechanic; whales scare small players,10% squad creation fee + pool,Perfect for IndieHacker India community,Medium
19,RentMyInbox.lol,Recruiters pay to rank outreach to you,Talent Reverse,Candidates free; recruiters pay $5 to rank their DM to candidate; candidate gets $2 per read,No reverse recruiter board; candidate inbox is spam hell,$5 per DM; $2 to candidate = incentive to read,Naukri spam killer,Medium
20,ReviewRank.lol,Pay to rank but rank decays if bad reviews,Quality x Money,Rank = bid * (avg rating); 1-star reviews tank you even if you paid $1000; verified buyers only,$1 + quality multiplier,Trust problem in pay-to-rank - this fixes,Review culture strong in India,Medium
21,WaitlistJump.lol,Pay to jump waitlist queue,Queue Economy,Startups post waitlist; users pay $1-10 to jump queue; startup gets 70% of jump fee,No waitlist boards; waitlists are everywhere in 2026,30% platform fee on jumps,Use for exclusive Delhi clubs / events,Low
22,CharityBid 2.0 - ESG Rank,Corporate ESG leaderboard with tax receipt,Charity / ESG,Companies bid; 100% goes to NGO; get 80G tax receipt + ESG badge; ranked by total donated,Only 1 charity board (outcharity.com) but no tax angle,0% fee - monetize via corporate sponsors,CSR requirement in India = huge,Low
23,ShopifyRank.lol,Pay to rank Shopify app in category,Vertical SaaS,Shopify apps pay to rank for keyword "email marketing"; verified installs shown; anti-fake,Only 1 Shopify board (topshopifyapp.lol) but weak, $10 min + app store affiliate,Indian Shopify devs (3000+),Low
24,MemeRank - Clip War,Pay to push meme / reel to top,Memes / Reels,Reels compete; pay $1 to push; top reel auto-posted to IG page with 100k followers,Only few clip boards (clipwar.lol) but no distribution, $1 per push + IG growth,Indian meme pages monetization,Medium
25,MapMyBlock Delhi,Claim Delhi blocks - Connaught Place etc,Hyperlocal Map,Warmap.lol clone but for Delhi: 100 blocks; own CP for ₹500; anyone can steal for 1.5x,Regional boards 18 but 0 city-block level,1.5x steal fee = 50% profit,Delhi pride - fight for your locality,Low
