"name","host","url","category","tagline","evidence","claimed_taken","top_bid","bidders","minimum_bid","payment_rail","listed_at","registered_at","registrar","clicks","referrals","figures_read_at"
"Outraid","outraid.lol","https://outraid.lol/","Websites & products","Paste a URL, claim your plot, and raid your way up the board.","Measured","$58.17","","","","","2026-08-27T03:45:14.897Z","","","5","0","2026-09-01T21:10:05.942Z"
"GetAlternative","getalternative.lol","https://getalternative.lol/","AI tools & agents","List any tool on GetAlternative from $1. The board ranks by bid — the highest takes #1, with a dofollow backlink and a public click count.","Measured","$8","","","$1","","2026-08-27T03:45:13.779Z","","","7","0","2026-08-27T03:49:51.685Z"
"Apptop","apptop.lol","https://apptop.lol/","X accounts","The paid app leaderboard","Measured","$12","$4","","$2","","2026-08-27T03:45:09.301Z","","","7","0","2026-08-31T01:28:17.763Z"
"bidout.lol","bidout.lol","https://bidout.lol/","X accounts","Pay to rank. Higher bid wins. New spots start at $1.","Measured","$36","","","$1","","2026-08-27T03:45:09.068Z","","","5","0","2026-09-02T08:54:56.000Z"
"DeskThrone","deskthrone.lol","https://deskthrone.lol/","AI tools & agents","A leaderboard of desk setups and what people built from them. Bid to rank higher. Get dethroned by the next bidder.","Measured","$36","$15","","","","2026-08-27T03:45:07.152Z","","","5","0","2026-08-31T01:28:17.966Z"
"10bid.lol","10bid.lol","https://10bid.lol/","Websites & products","Discover ten featured products, compare live placements, or overtake a spot to put your product on the leaderboard.","Measured","$59","$22","","","","2026-08-27T03:15:07.635Z","","","5","0","2026-08-31T01:28:18.127Z"
"Silicon Jungle","siliconjungle.lol","https://siliconjungle.lol/","Ads & billboards","A paid leaderboard where the scene IS the ranking. 100 spots in a pixel kingdom. Outbid to climb.","Explicit $0","$0","","","$5","","2026-08-27T03:15:07.163Z","","","5","0","2026-08-27T03:19:21.232Z"
"BID2WIN.LOL","bid2win.lol","https://bid2win.lol/","Websites & products","Claim the #1 spot on the bid2win.lol pay-to-rank leaderboard. Permanent placements from $1 — outbid rivals any time.","Verified - unmeasured","","","","$1","","2026-08-26T19:01:04.907Z","","","6","0",""
"PAY2BID.LOL","pay2bid.lol","https://pay2bid.lol/","Websites & products","Claim the #1 spot on the pay2bid.lol pay-to-rank leaderboard. Permanent placements from $1 — outbid rivals any time.","Verified - unmeasured","","","","$1","","2026-08-26T19:01:03.834Z","","","6","0",""
"OUTBID.NAME","outbid.name","https://outbid.name/","Websites & products","Claim the #1 spot on the outbid.name pay-to-rank leaderboard. Permanent placements from $1 — outbid rivals any time.","Verified - unmeasured","","","","$1","","2026-08-26T19:01:02.437Z","","","6","0",""
"PAYTOBID.LOL","paytobid.lol","https://paytobid.lol/","Websites & products","Claim the #1 spot on the paytobid.lol pay-to-rank leaderboard. Permanent placements from $1 — outbid rivals any time.","Verified - unmeasured","","","","$1","","2026-08-26T19:01:01.367Z","","","5","0",""
"BID2TOP.LOL","bid2top.lol","https://bid2top.lol/","Websites & products","Claim the #1 spot on the bid2top.lol pay-to-rank leaderboard. Permanent placements from $1 — outbid rivals any time.","Verified - unmeasured","","","","$1","","2026-08-26T19:01:00.234Z","","","5","0",""
"PAY2TOP.LOL","pay2top.lol","https://pay2top.lol/","Websites & products","Claim the #1 spot on the pay2top.lol pay-to-rank leaderboard. Permanent placements from $1 — outbid rivals any time.","Verified - unmeasured","","","","$1","","2026-08-26T19:00:59.166Z","","","5","0",""
"BIDTOTOP.LOL","bidtotop.lol","https://bidtotop.lol/","Websites & products","Claim the #1 spot on the bidtotop.lol pay-to-rank leaderboard. Permanent placements from $1 — outbid rivals any time.","Verified - unmeasured","","","","$1","","2026-08-26T19:00:58.052Z","","","5","0",""
"PAYTOTOP.LOL","paytotop.lol","https://paytotop.lol/","Websites & products","Claim the #1 spot on the paytotop.lol pay-to-rank leaderboard. Permanent placements from $1 — outbid rivals any time.","Verified - unmeasured","","","","$1","","2026-08-26T19:00:56.632Z","","","6","0",""
"PAY2RANK.LOL","pay2rank.lol","https://pay2rank.lol/","Websites & products","Claim the #1 spot on the pay2rank.lol pay-to-rank leaderboard. Permanent placements from $1 — outbid rivals any time.","Verified - unmeasured","","","","$1","","2026-08-26T19:00:55.496Z","","","5","0",""
"BIDTOWIN.LOL","bidtowin.lol","https://bidtowin.lol/","Websites & products","Claim the #1 spot on the bidtowin.lol pay-to-rank leaderboard. Permanent placements from $1 — outbid rivals any time.","Verified - unmeasured","","","","$1","","2026-08-26T18:45:55.857Z","","","3","0",""
"OUTBID.SALE","outbid.sale","https://outbid.sale/","Websites & products","Claim the #1 spot on the outbid.sale pay-to-rank leaderboard. Permanent placements from $1 — outbid rivals any time.","Verified - unmeasured","","","","$1","","2026-08-26T18:45:54.632Z","","","3","0",""
"flexwall.lol","flexwall.lol","https://flexwall.lol/","X accounts","A public wall that ranks money. Post an amount, take your rank, defend it. Every entry is public, permanent and paid.","Measured","$1,302","$101","","$100","","2026-08-26T13:15:54.786Z","","","3","0","2026-08-31T10:04:27.853Z"
"Outbid Lol","outbid-lol.lol","https://outbid-lol.lol/","Websites & products","Outbid Lol is a public pay-to-rank leaderboard for startups and products. Bid from $5, claim higher ranks, and get discovered when payments clear. Rank is the bid — nothing else.","Explicit $0","$0","","","$5","","2026-08-26T06:15:58.676Z","","","3","0","2026-08-26T06:19:02.095Z"
"SongBid","theoutbid.space","https://theoutbid.space/","AI tools & agents","A pay-to-rank leaderboard for AI-generated songs. Submit your song, pay your bid, claim your rank.","Measured","$28","$10","","","","2026-08-25T18:45:19.830Z","","","3","0","2026-08-31T01:28:18.483Z"
"outfake.lol","outfake.lol","https://outfake.lol/","AI tools & agents","Create a ready-to-share Outbid-style leaderboard image from any public product URL.","Checked - unreadable","","","","$5","","2026-08-25T16:15:16.366Z","","","3","0","2026-08-27T15:59:42.945Z"
"Rank21","outbidlol.ai","https://outbidlol.ai/","AI tools & agents","An independent Outbid LOL alternative for AI products and X profiles. Sponsor a placement and rank with fixed-supply Rank Power.","Verified - unmeasured","","","","$5","","2026-08-25T15:15:16.164Z","","","4","0",""
"Gavel","gavel.lol","https://gavel.lol/","Games & clips","A live leaderboard of indie products, ranked by what their makers pay. Outbid the one above you and take the spot.","Explicit $0","$0","$11","","$1","","2026-08-25T14:15:16.152Z","","","7","0","2026-09-01T00:01:23.486Z"
"clipwar.lol","clipwar.lol","https://clipwar.lol/","Games & clips","Clips compete for the top of the board. Bid to push one up.","Verified - unmeasured","","","","","","2026-08-25T12:15:16.166Z","","","4","0",""
"TopBill","topbill.lol","https://topbill.lol/","Websites & products","A public leaderboard. No ads, no algorithm. Whoever pays more stands above.","Measured","$125","","","$1","","2026-08-25T05:15:16.165Z","","","4","0","2026-08-28T15:49:50.819Z"
"Product Leaderboard","worldorder.lol","https://worldorder.lol/","AI tools & agents","A live product leaderboard where rank is bought, not voted. Paid listings start at $1: one Stripe charge, no account. Votes and shares are the only free lift.","Verified - unmeasured","","","","$1","","2026-08-25T03:15:17.568Z","","","2","0",""
"bidfun.lol","bidfun.lol","https://bidfun.lol/","Crypto & tokens","No ads, no API keys, no revenue sharing. Votes are free, the top is paid. Outbid your competition to rank your coin, your launchpad and your network.","Measured","$10","","","$5","","2026-08-25T01:15:16.169Z","","","7","0","2026-08-25T20:44:24.599Z"
"destaque.lol","destaque.lol","https://destaque.lol/","Regional & other currencies","Brazilian ad board in BRL — every row shows total paid, clicks, and cost per click.","Measured","$3.78","$1.80","","R$5","Pix, card","2026-08-24T23:30:16.161Z","","","4","0","2026-08-31T01:28:18.839Z"
"Longbid","longbid.lol","https://longbid.lol/","Crypto & tokens","Public pay-to-rank leaderboard for crypto products. Higher USDC bid. Higher rank. Nothing else.","Measured","$6","$5","","","","2026-08-24T21:45:16.165Z","","","4","0","2026-08-31T01:28:19.006Z"
"BidOnChain","bidonchain.lol","https://bidonchain.lol/","Crypto & tokens","Buy your rank on the on-chain discovery board. Pay more than the project above you and take its spot. No accounts, no algorithm — settle in crypto and you are ranked instantly.","Verified - unmeasured","","","","$5","","2026-08-24T20:15:16.158Z","","","6","0",""
"bidoor.lol","bidoor.lol","https://bidoor.lol/","Ads & billboards","One board, every chain. The token that has paid the most sits at #1. Rank is the bid, nothing else.","Measured","$89","$21","","$1","","2026-08-24T19:15:16.157Z","","","3","0","2026-08-31T01:28:19.197Z"
"BuyRank","buyrank.lol","https://buyrank.lol/","Websites & products","A public leaderboard where rank is decided by money. Bid $1 to get on. Pay more than the row above you to climb.","Measured","$45","$25","","$1","","2026-08-24T17:15:16.159Z","","","2","0","2026-08-31T01:28:19.373Z"
"bidnoww","bidnoww.lol","https://bidnoww.lol/","AI tools & agents","bidnoww is a pay-to-rank product leaderboard. List your startup or tool for just $1. Higher bids sit higher — pay only the difference to raise.","Measured","$274","","","$1","","2026-08-24T16:45:19.693Z","","","3","0","2026-09-03T23:31:48.986Z"
"MoneyWins.lol","moneywins.lol","https://moneywins.lol/","Ads & billboards","Anything with a URL can win. The highest confirmed bid gets the most attention until Monday.","Verified - unmeasured","","","","","","2026-08-24T16:45:17.867Z","","","3","0",""
"ViralSites.fyi","viralsites.fyi","https://viralsites.fyi/","Directories of bid sites","Tracking every viral one-page money site. Revenue, model type, launch date — all in one place.","Checked - unreadable","","","","","","2026-08-24T16:45:16.175Z","","","10","0","2026-08-27T15:59:43.169Z"
"hill.bid","hill.bid","https://hill.bid/","Ads & billboards","Paid to be king of the hill","Measured","$1","$1","","1","","2026-08-24T16:44:05.020Z","","","3","0","2026-08-31T01:28:19.736Z"
"BidWeb3","bidweb3.lol","https://bidweb3.lol/","Crypto & tokens","Web3 Projects ranked by what they paid","Measured","$30.09","$13","","5","ETH","2026-08-24T16:32:13.110Z","","","3","0","2026-09-04T07:40:02.914Z"
"fundit.lol","fundit.lol","https://fundit.lol/","X accounts","We want namedrop.lol at #1 on Outbid.lol. So we built another leaderboard to pay for it. Bid for attention and help fund the $15,000 mission.","Verified - unmeasured","","","","$1","","2026-08-24T09:15:17.461Z","","","5","0",""
"RankDuel","rankduel.lol","https://rankduel.lol/","AI tools & agents","A public leaderboard where products bid real money to hold a position. The highest total holds #1, and anyone can take it by paying more. No algorithm, no gatekeeper.","Measured","$5","","","$5","","2026-08-24T09:15:16.239Z","","","3","0","2026-08-24T09:19:05.622Z"
"getoutbid.lol","getoutbid.lol","https://getoutbid.lol/","Websites & products","Missed out on outbid.lol? Get listed on getoutbid.lol — the pay-to-rank leaderboard where getting outbid from #1 or the Top 10 pays you 50% back as credit. New spots from $2.","Explicit $0","$0","","","$2","","2026-08-24T05:45:16.150Z","","","5","0","2026-08-29T18:49:49.276Z"
"rankcoin","rankcoin.lol","https://rankcoin.lol/","Crypto & tokens","outbid anyone for #1 in crypto","Verified - unmeasured","","","","","","2026-08-24T03:45:17.840Z","","","7","0",""
"outbuilt.lol","outbuilt.lol","https://outbuilt.lol/","Websites & products","A public leaderboard rendered as a skyline. Every bid is a building, your money is the height, and the tallest tower owns the view. No ads, no API keys, no refunds.","Measured","$241","","","$2","","2026-08-24T03:45:17.054Z","","","5","0","2026-08-31T02:15:11.824Z"
"getbumped.lol","getbumped.lol","https://getbumped.lol/","Websites & products","A public leaderboard you buy your way onto. Every bid costs a dollar more than the last. Nobody gets a refund. That's the game.","Measured","$7","$4","","","","2026-08-24T03:45:16.179Z","","","4","0","2026-08-31T01:28:20.076Z"
"Appgratis","appgratis.net","https://appgratis.net/","Websites & products","A public leaderboard for iOS apps with one ranking signal: what you paid for the spot. Listings start at $1, and the highest bid holds #1.","Explicit $0","$0","","","$1","","2026-08-24T03:15:16.168Z","","","6","0","2026-08-24T03:19:32.858Z"
"bidspot.lol","bidspot.lol","https://bidspot.lol/","Websites & products","Enter your website URL and pay to be listed, highest bid ranks first.","Measured","$120","$12","","$1","Stripe","2026-08-24T03:11:11.141Z","","","4","0","2026-09-04T06:44:21.723Z"
"sitebid.lol","sitebid.lol","https://sitebid.lol/","Websites & products","The modern pay-to-rank leaderboard. Bid your way to #1 on sitebid.lol.","Measured","$26.13","$11","","$1","","2026-08-24T02:15:16.162Z","","","5","0","2026-08-31T01:28:20.434Z"
"OutofOptions","outofoptions.lol","https://outofoptions.lol/","X accounts","paid social discovery","Verified - unmeasured","","","","$5","","2026-08-24T01:30:16.437Z","","","2","0",""
"madbid.lol","madbid.lol","https://madbid.lol/","AI tools & agents","A public leaderboard where AI products, agents and agencies buy their rank. Highest bid sits at #1. New spots start at $5.","Measured","$620","$150","","$2","","2026-08-24T01:15:18.454Z","","","4","0","2026-08-31T01:28:20.611Z"
"WKLY","wkly.bid","https://wkly.bid/","Websites & products","Discover products ranked by confirmed weekly bids. Every paid placement is disclosed, and the leaderboard resets every Monday.","Measured","$1","","","","","2026-08-24T01:15:17.320Z","","","3","0","2026-08-24T13:19:01.788Z"
"TopWeek","topweek.jp","https://topweek.jp/","Websites & products","A weekly paid leaderboard. Spots are ordered by the amount paid, and reset every Monday.","Measured","$15","","","","","2026-08-24T01:15:16.143Z","","","3","0","2026-08-24T01:19:06.897Z"
"BidDir","biddir.lol","https://biddir.lol/","Directories of bid sites","BidDir is a public bid-ranked directory: pay more and your site ranks first, until someone outbids you.","Checked - unreadable","","","","$1","","2026-08-24T00:15:17.193Z","","","4","0","2026-08-24T09:49:28.816Z"
"stealrank.lol","stealrank.lol","https://stealrank.lol/","Websites & products","Competitive live leaderboard for iOS & Android apps, AI tools, and SaaS startups. Claim #1 for your app, get permanent backlinks, and drive real downloads.","Measured","$3","","","$3","","2026-08-24T00:15:16.158Z","","","3","0","2026-08-25T07:20:46.259Z"
"Outcharity","outcharity.com","https://outcharity.com/","Ads & billboards","Businesses compete for the top spot by giving to charity. Rank is determined by confirmed lifetime contributions.","Measured","$26","$7","","","","2026-08-23T23:45:16.154Z","","","3","0","2026-08-31T01:28:20.798Z"
"Top AI App","topaiapp.lol","https://topaiapp.lol/","AI tools & agents","A public, pay-to-rank leaderboard for AI products. The higher the bid, the higher the spot.","Explicit $0","$0","","","$2","","2026-08-23T23:15:16.157Z","","","2","0","2026-08-23T23:20:17.135Z"
"GambleBid","gamblebids.lol","https://gamblebids.lol/","X accounts","A public pay-to-rank leaderboard for gambling sites, sportsbooks, creators and slot providers. No algorithm, no votes. Your rank is what you paid.","Measured","$3","$2","","","","2026-08-23T22:45:16.818Z","","","3","0","2026-08-31T01:28:21.008Z"
"BidInsta","bidinsta.lol","https://bidinsta.lol/","X accounts","Bid your Instagram handle to the top. Rank is the bid — nothing else.","Measured","$14","$5","","$1","","2026-08-23T22:45:16.157Z","","","2","0","2026-09-02T20:24:56.266Z"
"ProductOutbid.lol","productoutbid.lol","https://productoutbid.lol/","Websites & products","One leaderboard for top products. Your bid is your rank. Pay more than the product above you and claim the top spot.","Checked - unreadable","","","","$1.00","","2026-08-23T19:15:21.551Z","","","5","0","2026-08-29T10:04:19.408Z"
"UpNext","upnext.lol","https://upnext.lol/","Games & clips","A YouTube leaderboard where channels bid for the top slot, and the highest bid plays first.","Checked - unreadable","","","","$1","","2026-08-23T19:01:53.173Z","","","6","0","2026-08-27T05:04:38.401Z"
"Skool Race","skoolrace.top","https://skoolrace.top/","Websites & products","Race your Skool community to the top. Bid a dollar more than the leader and take the lead.","Measured","$3","","","","","2026-08-23T19:01:52.298Z","","","2","0","2026-08-31T01:19:01.779Z"
"maiorlance.com","maiorlance.com","https://maiorlance.com/","Regional & other currencies","O ranking dos perfis do Instagram em que a posição é decidida por quanto cada um pagou via Pix.","Measured","$735.28","","","","","2026-08-23T19:01:50.852Z","","","4","0","2026-08-23T19:05:40.462Z"
"OUTSPENT","outspent.lol","https://outspent.lol/","Websites & products","Websites compete for attention by putting their money where their mouth is. Spend more, rank higher, get seen—or get outspent.","Measured","$55.20","$24.20","","","","2026-08-23T19:01:28.781Z","","","4","0","2026-08-31T01:29:47.577Z"
"tweetrank.lol","tweetrank.lol","https://tweetrank.lol/","X accounts","A live leaderboard of tweets, ranked by what people pay. Highest bid takes #1. Every dollar under it takes the next best spot.","Verified - unmeasured","","","","$1","","2026-08-23T19:00:58.964Z","","","6","0",""
